"data e hora","caso de teste","mensagem"
"[2021/10/07 21:41:52.712]","cafeteira espresso, modo, 110v, vermelha, tres, 3 corações","Iniciou o teste"
"[2021/10/07 21:41:54.457]","cafeteira espresso, modo, 110v, vermelha, tres, 3 corações","Abriu o site"
"[2021/10/07 21:41:54.797]","cafeteira espresso, modo, 110v, vermelha, tres, 3 corações","Clicou na caixa de pesquisa"
"[2021/10/07 21:41:54.833]","cafeteira espresso, modo, 110v, vermelha, tres, 3 corações","Limpou a caixa de pesquisa"
"[2021/10/07 21:41:54.968]","cafeteira espresso, modo, 110v, vermelha, tres, 3 corações","Abriu o site Amazon"
"[2021/10/07 21:41:57.921]","cafeteira espresso, modo, 110v, vermelha, tres, 3 corações","Digitou produto no campo de pesquisa e clicou no botão Lupa"
"[2021/10/07 21:42:00.497]","cafeteira espresso, modo, 110v, vermelha, tres, 3 corações","Exibiu o resultado da pesquisa"
"[2021/10/07 21:42:01.818]","cafeteira espresso, modo, 110v, vermelha, tres, 3 corações","Clicou sobre o produto a ser comprado"
"[2021/10/07 21:42:03.040]","cafeteira espresso, modo, 110v, vermelha, tres, 3 corações","Clicou no botão Adicionar ao carrinho"
