"data e hora","caso de teste","mensagem"
"[2021/10/07 21:43:39.422]","Cafeteira Single, Vermelho, 110v, Cadence","Iniciou o teste"
"[2021/10/07 21:43:41.214]","Cafeteira Single, Vermelho, 110v, Cadence","Abriu o site"
"[2021/10/07 21:43:41.537]","Cafeteira Single, Vermelho, 110v, Cadence","Clicou na caixa de pesquisa"
"[2021/10/07 21:43:41.582]","Cafeteira Single, Vermelho, 110v, Cadence","Limpou a caixa de pesquisa"
"[2021/10/07 21:43:41.705]","Cafeteira Single, Vermelho, 110v, Cadence","Abriu o site Amazon"
"[2021/10/07 21:43:44.567]","Cafeteira Single, Vermelho, 110v, Cadence","Digitou produto no campo de pesquisa e clicou no botão Lupa"
"[2021/10/07 21:43:47.276]","Cafeteira Single, Vermelho, 110v, Cadence","Exibiu o resultado da pesquisa"
"[2021/10/07 21:43:48.666]","Cafeteira Single, Vermelho, 110v, Cadence","Clicou sobre o produto a ser comprado"
"[2021/10/07 21:43:49.806]","Cafeteira Single, Vermelho, 110v, Cadence","Clicou no botão Adicionar ao carrinho"
"[2021/10/07 21:43:49.955]","Cafeteira Single, Vermelho, 110v, Cadence","Confirmou o nome do Produto Cafeteira Single, Vermelho, 110v, Cadence"
