"data e hora","caso de teste","mensagem"
"[2021/10/07 23:32:36.092]","Cafeteira Single, Vermelho, 110v, Cadence","Iniciou o teste"
"[2021/10/07 23:32:38.314]","Cafeteira Single, Vermelho, 110v, Cadence","Abriu o site"
"[2021/10/07 23:32:38.738]","Cafeteira Single, Vermelho, 110v, Cadence","Clicou na caixa de pesquisa"
"[2021/10/07 23:32:38.782]","Cafeteira Single, Vermelho, 110v, Cadence","Limpou a caixa de pesquisa"
"[2021/10/07 23:32:38.877]","Cafeteira Single, Vermelho, 110v, Cadence","Abriu o site Amazon"
"[2021/10/07 23:32:42.502]","Cafeteira Single, Vermelho, 110v, Cadence","Digitou produto no campo de pesquisa e clicou no botão Lupa"
"[2021/10/07 23:32:47.049]","Cafeteira Single, Vermelho, 110v, Cadence","Exibiu o resultado da pesquisa"
"[2021/10/07 23:32:48.856]","Cafeteira Single, Vermelho, 110v, Cadence","Clicou sobre o produto a ser comprado"
"[2021/10/07 23:32:50.556]","Cafeteira Single, Vermelho, 110v, Cadence","Clicou no botão Adicionar ao carrinho"
"[2021/10/07 23:32:50.706]","Cafeteira Single, Vermelho, 110v, Cadence","Confirmou o nome do Produto Cafeteira Single, Vermelho, 110v, Cadence"
"[2021/10/07 23:32:50.731]","Cafeteira Single, Vermelho, 110v, Cadence","Confirmou o preço do Produto Cafeteira Single, Vermelho, 110v, Cadence"
"[2021/10/07 23:32:50.836]","Cafeteira Single, Vermelho, 110v, Cadence","Concluiu o teste"
