"data e hora","caso de teste","mensagem"
"[2021/10/07 23:18:59.267]","Cafeteira Single, Vermelho, 110v, Cadence","Iniciou o teste"
"[2021/10/07 23:18:59.564]","Cafeteira Single, Vermelho, 110v, Cadence","Abriu o site"
"[2021/10/07 23:19:04.913]","Cafeteira Single, Vermelho, 110v, Cadence","Clicou na caixa de pesquisa"
"[2021/10/07 23:19:04.960]","Cafeteira Single, Vermelho, 110v, Cadence","Limpou a caixa de pesquisa"
"[2021/10/07 23:19:05.093]","Cafeteira Single, Vermelho, 110v, Cadence","Abriu o site Amazon"
"[2021/10/07 23:19:08.317]","Cafeteira Single, Vermelho, 110v, Cadence","Digitou produto no campo de pesquisa e clicou no botão Lupa"
"[2021/10/07 23:19:11.166]","Cafeteira Single, Vermelho, 110v, Cadence","Exibiu o resultado da pesquisa"
"[2021/10/07 23:19:12.524]","Cafeteira Single, Vermelho, 110v, Cadence","Clicou sobre o produto a ser comprado"
"[2021/10/07 23:19:14.827]","Cafeteira Single, Vermelho, 110v, Cadence","Clicou no botão Adicionar ao carrinho"
"[2021/10/07 23:19:15.007]","Cafeteira Single, Vermelho, 110v, Cadence","Confirmou o nome do Produto Cafeteira Single, Vermelho, 110v, Cadence"
"[2021/10/07 23:19:15.036]","Cafeteira Single, Vermelho, 110v, Cadence","Confirmou o preço do Produto Cafeteira Single, Vermelho, 110v, Cadence"
"[2021/10/07 23:19:15.177]","Cafeteira Single, Vermelho, 110v, Cadence","Concluiu o teste"
