"data e hora","caso de teste","mensagem"
"[2021/09/29 22:27:56.405]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Iniciou o teste"
"[2021/09/29 22:27:58.401]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Abriu o site"
"[2021/09/29 22:27:58.755]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Clicou na caixa de pesquisa"
"[2021/09/29 22:27:58.804]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Limpou a caixa de pesquisa"
"[2021/09/29 22:27:58.908]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Abriu o site Amazon"
"[2021/09/29 22:28:01.912]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Digitou produto no campo de pesquisa e clicou no botão Lupa"
"[2021/09/29 22:28:01.940]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Confirmou o texto indicativo da pesquisa do produto"
"[2021/09/29 22:28:05.125]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Exibiu o resultado da pesquisa"
"[2021/09/29 22:28:06.468]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Clicou sobre o produto a ser comprado"
"[2021/09/29 22:28:08.437]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Clicou no botão Adicionar ao carrinho"
