"data e hora","caso de teste","mensagem"
"[2021/09/29 22:24:13.822]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Iniciou o teste"
"[2021/09/29 22:24:16.235]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Abriu o site"
"[2021/09/29 22:24:16.620]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Clicou na caixa de pesquisa"
"[2021/09/29 22:24:16.662]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Limpou a caixa de pesquisa"
"[2021/09/29 22:24:16.757]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Abriu o site Amazon"
"[2021/09/29 22:24:19.818]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Digitou produto no campo de pesquisa e clicou no botão Lupa"
"[2021/09/29 22:24:19.849]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Confirmou o texto indicativo da pesquisa do produto"
"[2021/09/29 22:24:23.153]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Exibiu o resultado da pesquisa"
"[2021/09/29 22:24:24.511]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Clicou sobre o produto a ser comprado"
"[2021/09/29 22:24:25.667]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Clicou no botão Adicionar ao carrinho"
"[2021/09/29 22:24:25.759]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","validou o carrinho de compras"
