"data e hora","caso de teste","mensagem"
"[2021/09/26 23:07:23.352]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Iniciou o teste"
"[2021/09/26 23:07:25.041]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Abriu o site"
"[2021/09/26 23:07:25.412]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Clicou na caixa de pesquisa"
"[2021/09/26 23:07:25.456]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Limpou a caixa de pesquisa"
"[2021/09/26 23:07:25.564]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster"
"[2021/09/26 23:07:28.179]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Clicou no botão da Lupa"
"[2021/09/26 23:07:28.221]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Confirmou o texto indicativo da pesquisa do produto"
"[2021/09/26 23:07:31.041]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Clicou na imagem do produto"
