"data e hora","caso de teste","mensagem"
"[2021/10/07 20:08:12.864]","cafeteira espresso, modo, 110v, vermelha, tres, 3 corações","Iniciou o teste"
"[2021/10/07 20:08:14.733]","cafeteira espresso, modo, 110v, vermelha, tres, 3 corações","Abriu o site"
"[2021/10/07 20:08:15.069]","cafeteira espresso, modo, 110v, vermelha, tres, 3 corações","Clicou na caixa de pesquisa"
"[2021/10/07 20:08:15.115]","cafeteira espresso, modo, 110v, vermelha, tres, 3 corações","Limpou a caixa de pesquisa"
"[2021/10/07 20:08:15.253]","cafeteira espresso, modo, 110v, vermelha, tres, 3 corações","Abriu o site Amazon"
"[2021/10/07 20:08:18.182]","cafeteira espresso, modo, 110v, vermelha, tres, 3 corações","Digitou produto no campo de pesquisa e clicou no botão Lupa"
"[2021/10/07 20:08:20.824]","cafeteira espresso, modo, 110v, vermelha, tres, 3 corações","Exibiu o resultado da pesquisa"
"[2021/10/07 20:08:22.060]","cafeteira espresso, modo, 110v, vermelha, tres, 3 corações","Clicou sobre o produto a ser comprado"
"[2021/10/07 20:08:23.312]","cafeteira espresso, modo, 110v, vermelha, tres, 3 corações","Clicou no botão Adicionar ao carrinho"
