"data e hora","caso de teste","mensagem"
"[2021/10/07 22:28:35.796]","Cafeteira Single, Vermelho, 110v, Cadence","Iniciou o teste"
"[2021/10/07 22:28:37.596]","Cafeteira Single, Vermelho, 110v, Cadence","Abriu o site"
"[2021/10/07 22:28:37.917]","Cafeteira Single, Vermelho, 110v, Cadence","Clicou na caixa de pesquisa"
"[2021/10/07 22:28:37.955]","Cafeteira Single, Vermelho, 110v, Cadence","Limpou a caixa de pesquisa"
"[2021/10/07 22:28:38.074]","Cafeteira Single, Vermelho, 110v, Cadence","Abriu o site Amazon"
"[2021/10/07 22:28:41.044]","Cafeteira Single, Vermelho, 110v, Cadence","Digitou produto no campo de pesquisa e clicou no botão Lupa"
"[2021/10/07 22:28:43.644]","Cafeteira Single, Vermelho, 110v, Cadence","Exibiu o resultado da pesquisa"
"[2021/10/07 22:28:44.995]","Cafeteira Single, Vermelho, 110v, Cadence","Clicou sobre o produto a ser comprado"
"[2021/10/07 22:28:47.055]","Cafeteira Single, Vermelho, 110v, Cadence","Clicou no botão Adicionar ao carrinho"
"[2021/10/07 22:28:47.198]","Cafeteira Single, Vermelho, 110v, Cadence","Confirmou o nome do Produto Cafeteira Single, Vermelho, 110v, Cadence"
"[2021/10/07 22:28:47.225]","Cafeteira Single, Vermelho, 110v, Cadence","Confirmou o preço do Produto Cafeteira Single, Vermelho, 110v, Cadence"
"[2021/10/07 22:28:47.314]","Cafeteira Single, Vermelho, 110v, Cadence","Concluiu o teste"
