"data e hora","caso de teste","mensagem"
"[2021/10/03 09:22:24.284]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Iniciou o teste"
"[2021/10/03 09:22:26.063]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Abriu o site"
"[2021/10/03 09:22:26.415]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Clicou na caixa de pesquisa"
"[2021/10/03 09:22:26.453]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Limpou a caixa de pesquisa"
"[2021/10/03 09:22:26.564]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Abriu o site Amazon"
"[2021/10/03 09:22:29.710]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Digitou produto no campo de pesquisa e clicou no botão Lupa"
"[2021/10/03 09:22:32.745]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Exibiu o resultado da pesquisa"
"[2021/10/03 09:22:34.352]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Clicou sobre o produto a ser comprado"
"[2021/10/03 09:22:35.537]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Clicou no botão Adicionar ao carrinho"
