"data e hora","caso de teste","mensagem"
"[2021/10/03 09:57:52.564]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Iniciou o teste"
"[2021/10/03 09:57:54.290]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Abriu o site"
"[2021/10/03 09:57:54.650]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Clicou na caixa de pesquisa"
"[2021/10/03 09:57:54.700]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Limpou a caixa de pesquisa"
"[2021/10/03 09:57:54.805]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Abriu o site Amazon"
"[2021/10/03 09:57:57.938]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Digitou produto no campo de pesquisa e clicou no botão Lupa"
"[2021/10/03 09:58:00.975]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Exibiu o resultado da pesquisa"
"[2021/10/03 09:58:02.439]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Clicou sobre o produto a ser comprado"
"[2021/10/03 09:58:03.542]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Clicou no botão Adicionar ao carrinho"
