"data e hora","caso de teste","mensagem"
"[2021/10/07 21:44:45.090]","Cafeteira Single, Vermelho, 110v, Cadence","Iniciou o teste"
"[2021/10/07 21:44:46.888]","Cafeteira Single, Vermelho, 110v, Cadence","Abriu o site"
"[2021/10/07 21:44:47.213]","Cafeteira Single, Vermelho, 110v, Cadence","Clicou na caixa de pesquisa"
"[2021/10/07 21:44:47.252]","Cafeteira Single, Vermelho, 110v, Cadence","Limpou a caixa de pesquisa"
"[2021/10/07 21:44:47.350]","Cafeteira Single, Vermelho, 110v, Cadence","Abriu o site Amazon"
"[2021/10/07 21:44:50.452]","Cafeteira Single, Vermelho, 110v, Cadence","Digitou produto no campo de pesquisa e clicou no botão Lupa"
"[2021/10/07 21:44:52.993]","Cafeteira Single, Vermelho, 110v, Cadence","Exibiu o resultado da pesquisa"
"[2021/10/07 21:44:54.206]","Cafeteira Single, Vermelho, 110v, Cadence","Clicou sobre o produto a ser comprado"
"[2021/10/07 21:44:56.507]","Cafeteira Single, Vermelho, 110v, Cadence","Clicou no botão Adicionar ao carrinho"
"[2021/10/07 21:44:56.660]","Cafeteira Single, Vermelho, 110v, Cadence","Confirmou o nome do Produto Cafeteira Single, Vermelho, 110v, Cadence"
"[2021/10/07 21:44:56.688]","Cafeteira Single, Vermelho, 110v, Cadence","Confirmou o preço do Produto Cafeteira Single, Vermelho, 110v, Cadence"
"[2021/10/07 21:44:56.776]","Cafeteira Single, Vermelho, 110v, Cadence","Concluiu o teste"
