"data e hora","caso de teste","mensagem"
"[2021/10/07 20:05:16.732]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Iniciou o teste"
"[2021/10/07 20:05:17.025]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Abriu o site"
"[2021/10/07 20:05:22.383]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Clicou na caixa de pesquisa"
"[2021/10/07 20:05:22.434]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Limpou a caixa de pesquisa"
"[2021/10/07 20:05:22.539]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Abriu o site Amazon"
"[2021/10/07 20:05:25.355]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Digitou produto no campo de pesquisa e clicou no botão Lupa"
"[2021/10/07 20:05:28.077]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Exibiu o resultado da pesquisa"
"[2021/10/07 20:05:29.662]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Clicou sobre o produto a ser comprado"
"[2021/10/07 20:05:31.564]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Clicou no botão Adicionar ao carrinho"
