"data e hora","caso de teste","mensagem"
"[2021/10/07 20:06:52.481]","cafeteira espresso, modo, 110v, vermelha, tres, 3 corações","Iniciou o teste"
"[2021/10/07 20:06:54.349]","cafeteira espresso, modo, 110v, vermelha, tres, 3 corações","Abriu o site"
"[2021/10/07 20:06:54.774]","cafeteira espresso, modo, 110v, vermelha, tres, 3 corações","Clicou na caixa de pesquisa"
"[2021/10/07 20:06:54.817]","cafeteira espresso, modo, 110v, vermelha, tres, 3 corações","Limpou a caixa de pesquisa"
"[2021/10/07 20:06:54.953]","cafeteira espresso, modo, 110v, vermelha, tres, 3 corações","Abriu o site Amazon"
"[2021/10/07 20:06:58.605]","cafeteira espresso, modo, 110v, vermelha, tres, 3 corações","Digitou produto no campo de pesquisa e clicou no botão Lupa"
"[2021/10/07 20:07:01.173]","cafeteira espresso, modo, 110v, vermelha, tres, 3 corações","Exibiu o resultado da pesquisa"
"[2021/10/07 20:07:02.389]","cafeteira espresso, modo, 110v, vermelha, tres, 3 corações","Clicou sobre o produto a ser comprado"
"[2021/10/07 20:07:03.761]","cafeteira espresso, modo, 110v, vermelha, tres, 3 corações","Clicou no botão Adicionar ao carrinho"
