"data e hora","caso de teste","mensagem"
"[2021/10/03 09:13:47.342]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Iniciou o teste"
"[2021/10/03 09:13:49.179]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Abriu o site"
"[2021/10/03 09:13:49.530]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Clicou na caixa de pesquisa"
"[2021/10/03 09:13:49.579]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Limpou a caixa de pesquisa"
"[2021/10/03 09:13:49.688]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Abriu o site Amazon"
"[2021/10/03 09:13:52.953]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Digitou produto no campo de pesquisa e clicou no botão Lupa"
