"data e hora","caso de teste","mensagem"
"[2021/10/07 23:26:59.356]","Cafeteira Single, Vermelho, 110v, Cadence","Iniciou o teste"
"[2021/10/07 23:27:01.229]","Cafeteira Single, Vermelho, 110v, Cadence","Abriu o site"
"[2021/10/07 23:27:01.572]","Cafeteira Single, Vermelho, 110v, Cadence","Clicou na caixa de pesquisa"
"[2021/10/07 23:27:01.614]","Cafeteira Single, Vermelho, 110v, Cadence","Limpou a caixa de pesquisa"
"[2021/10/07 23:27:01.746]","Cafeteira Single, Vermelho, 110v, Cadence","Abriu o site Amazon"
"[2021/10/07 23:27:04.390]","Cafeteira Single, Vermelho, 110v, Cadence","Digitou produto no campo de pesquisa e clicou no botão Lupa"
"[2021/10/07 23:27:07.114]","Cafeteira Single, Vermelho, 110v, Cadence","Exibiu o resultado da pesquisa"
"[2021/10/07 23:27:08.383]","Cafeteira Single, Vermelho, 110v, Cadence","Clicou sobre o produto a ser comprado"
"[2021/10/07 23:27:09.604]","Cafeteira Single, Vermelho, 110v, Cadence","Clicou no botão Adicionar ao carrinho"
"[2021/10/07 23:27:09.748]","Cafeteira Single, Vermelho, 110v, Cadence","Confirmou o nome do Produto Cafeteira Single, Vermelho, 110v, Cadence"
"[2021/10/07 23:27:09.775]","Cafeteira Single, Vermelho, 110v, Cadence","Confirmou o preço do Produto Cafeteira Single, Vermelho, 110v, Cadence"
"[2021/10/07 23:27:09.877]","Cafeteira Single, Vermelho, 110v, Cadence","Concluiu o teste"
