"data e hora","caso de teste","mensagem"
"[2021/10/07 20:17:22.040]","cafeteira espresso, modo, 110v, vermelha, tres, 3 corações","Iniciou o teste"
"[2021/10/07 20:17:24.276]","cafeteira espresso, modo, 110v, vermelha, tres, 3 corações","Abriu o site"
"[2021/10/07 20:17:24.597]","cafeteira espresso, modo, 110v, vermelha, tres, 3 corações","Clicou na caixa de pesquisa"
"[2021/10/07 20:17:24.636]","cafeteira espresso, modo, 110v, vermelha, tres, 3 corações","Limpou a caixa de pesquisa"
"[2021/10/07 20:17:24.745]","cafeteira espresso, modo, 110v, vermelha, tres, 3 corações","Abriu o site Amazon"
"[2021/10/07 20:17:27.951]","cafeteira espresso, modo, 110v, vermelha, tres, 3 corações","Digitou produto no campo de pesquisa e clicou no botão Lupa"
"[2021/10/07 20:17:30.681]","cafeteira espresso, modo, 110v, vermelha, tres, 3 corações","Exibiu o resultado da pesquisa"
"[2021/10/07 20:17:31.858]","cafeteira espresso, modo, 110v, vermelha, tres, 3 corações","Clicou sobre o produto a ser comprado"
"[2021/10/07 20:17:33.812]","cafeteira espresso, modo, 110v, vermelha, tres, 3 corações","Clicou no botão Adicionar ao carrinho"
